,NAME,NAME.who,NAME.shpfile,iso3.x,who_coverage,who_coverage.x,who_coverage.y,merge_status,merge_status.x,merge_status.y,GAUL_CODE,GAUL_CODE.x,GAUL_CODE.y
14,agboville,agboville,NA,CIV,89.20489297,NA,NA,in WHO but not shpfile,NA,NA,NA,NA,NA
15,agnibilekrou,agnibilekrou,NA,CIV,93.17741935,NA,NA,in WHO but not shpfile,NA,NA,NA,NA,NA
16,akoupe,akoupe,NA,CIV,115.3735256,NA,NA,in WHO but not shpfile,NA,NA,NA,NA,NA
17,alepe,alepe,NA,CIV,99.3638171,NA,NA,in WHO but not shpfile,NA,NA,NA,NA,NA
18,anyama,anyama,NA,CIV,103.5694051,NA,NA,in WHO but not shpfile,NA,NA,NA,NA,NA
19,bangolo,bangolo,NA,CIV,97.53920386,NA,NA,in WHO but not shpfile,NA,NA,NA,NA,NA
20,beoumi,beoumi,NA,CIV,88.3882149,NA,NA,in WHO but not shpfile,NA,NA,NA,NA,NA
21,bettie,bettie,NA,CIV,86.61290323,NA,NA,in WHO but not shpfile,NA,NA,NA,NA,NA
22,biankouma,biankouma,NA,CIV,97.34575087,NA,NA,in WHO but not shpfile,NA,NA,NA,NA,NA
23,blolequin,blolequin,NA,CIV,107.9854809,NA,NA,in WHO but not shpfile,NA,NA,NA,NA,NA
24,bocanda,bocanda,NA,CIV,100.5555556,NA,NA,in WHO but not shpfile,NA,NA,NA,NA,NA
25,bondoukou,bondoukou,NA,CIV,93.70916079,NA,NA,in WHO but not shpfile,NA,NA,NA,NA,NA
26,bongouanou,bongouanou,NA,CIV,101.9781931,NA,NA,in WHO but not shpfile,NA,NA,NA,NA,NA
27,bouafle,bouafle,NA,CIV,108.1976744,NA,NA,in WHO but not shpfile,NA,NA,NA,NA,NA
28,bouakenordest,bouakenordest,NA,CIV,98.64197531,NA,NA,in WHO but not shpfile,NA,NA,NA,NA,NA
29,bouakenordouest,bouakenordouest,NA,CIV,78.24286514,NA,NA,in WHO but not shpfile,NA,NA,NA,NA,NA
30,bouakesud,bouakesud,NA,CIV,106.4441748,NA,NA,in WHO but not shpfile,NA,NA,NA,NA,NA
31,bouna,bouna,NA,CIV,112.9404617,NA,NA,in WHO but not shpfile,NA,NA,NA,NA,NA
32,boundiali,boundiali,NA,CIV,103.9578714,NA,NA,in WHO but not shpfile,NA,NA,NA,NA,NA
33,cocodybingerville,cocodybingerville,NA,CIV,107.9691689,NA,NA,in WHO but not shpfile,NA,NA,NA,NA,NA
34,dabakala,dabakala,NA,CIV,99.79345955,NA,NA,in WHO but not shpfile,NA,NA,NA,NA,NA
35,dabou,dabou,NA,CIV,94.4494721,NA,NA,in WHO but not shpfile,NA,NA,NA,NA,NA
36,daloa,daloa,NA,CIV,92.56798623,NA,NA,in WHO but not shpfile,NA,NA,NA,NA,NA
37,danane,danane,NA,CIV,94.40196078,NA,NA,in WHO but not shpfile,NA,NA,NA,NA,NA
38,daoukro,daoukro,NA,CIV,102.4823944,NA,NA,in WHO but not shpfile,NA,NA,NA,NA,NA
39,didievi,didievi,NA,CIV,93.02491103,NA,NA,in WHO but not shpfile,NA,NA,NA,NA,NA
40,dimbokro,dimbokro,NA,CIV,90.85903084,NA,NA,in WHO but not shpfile,NA,NA,NA,NA,NA
41,divo,divo,NA,CIV,105.4403523,NA,NA,in WHO but not shpfile,NA,NA,NA,NA,NA
42,duekoue,duekoue,NA,CIV,119.6782842,NA,NA,in WHO but not shpfile,NA,NA,NA,NA,NA
43,ferkessedougou,ferkessedougou,NA,CIV,107.4135723,NA,NA,in WHO but not shpfile,NA,NA,NA,NA,NA
44,fresco,fresco,NA,CIV,108.4148728,NA,NA,in WHO but not shpfile,NA,NA,NA,NA,NA
45,gagnoa,gagnoa,NA,CIV,105.6205962,NA,NA,in WHO but not shpfile,NA,NA,NA,NA,NA
46,grandbassam,grandbassam,NA,CIV,91.14849188,NA,NA,in WHO but not shpfile,NA,NA,NA,NA,NA
47,grandlahou,grandlahou,NA,CIV,102.3454158,NA,NA,in WHO but not shpfile,NA,NA,NA,NA,NA
48,gueyo,gueyo,NA,CIV,102.7217742,NA,NA,in WHO but not shpfile,NA,NA,NA,NA,NA
49,guiglo,guiglo,NA,CIV,96.84210526,NA,NA,in WHO but not shpfile,NA,NA,NA,NA,NA
50,issia,issia,NA,CIV,102.1288295,NA,NA,in WHO but not shpfile,NA,NA,NA,NA,NA
51,jacqueville,jacqueville,NA,CIV,98.76221498,NA,NA,in WHO but not shpfile,NA,NA,NA,NA,NA
52,katiola,katiola,NA,CIV,99.16849015,NA,NA,in WHO but not shpfile,NA,NA,NA,NA,NA
53,korhogo,korhogo,NA,CIV,104.9613302,NA,NA,in WHO but not shpfile,NA,NA,NA,NA,NA
54,kouibly,kouibly,NA,CIV,115.6987788,NA,NA,in WHO but not shpfile,NA,NA,NA,NA,NA
