,ADM1_NAME,ADM2_NAME,iso3,ADM0_NAME.x,year,vaccine,GAUL_CODE,merge_status,ADM1_NAME.who,ADM1_NAME.shpfile,ADM2_NAME.who,ADM2_NAME.shpfile,who_coverage,Note
154,NA,NA,AGO,Angola,2016,NA,2018,fuzzy success,moxico,moxico,luacano,lucano,263,
155,NA,NA,AGO,Angola,2016,NA,2023,fuzzy success,namibe,namibe,camucuio,camacuio,74,
156,NA,NA,AGO,Angola,2016,NA,2025,fuzzy success,namibe,namibe,tombua,tombwa,76,
157,NA,NA,AGO,Angola,2016,NA,2028,fuzzy success,uige,uge,ambuila,ambuila,104,
158,NA,NA,AGO,Angola,2016,NA,2029,fuzzy success,uige,uge,bembe,bembe,98,
159,NA,NA,AGO,Angola,2016,NA,2030,fuzzy success,uige,uge,buengas,buengas,94,
160,NA,NA,AGO,Angola,2016,NA,2033,fuzzy success,uige,uge,maqueladozombo,maqueladozombo,98,
161,NA,NA,AGO,Angola,2016,NA,2034,fuzzy success,uige,uge,milunga,milunga,89,
162,NA,NA,AGO,Angola,2016,NA,2036,fuzzy success,uige,uge,negage,negage,111,
163,NA,NA,AGO,Angola,2016,NA,2037,fuzzy success,uige,uge,puri,puri,99,
164,NA,NA,AGO,Angola,2016,NA,2038,fuzzy success,uige,uge,quimbele,quimbele,56,
165,NA,NA,AGO,Angola,2016,NA,2039,fuzzy success,uige,uge,quitexe,quitexe,71,
166,NA,NA,AGO,Angola,2016,NA,2040,fuzzy success,uige,uge,sanzapombo,sanzapombo,81,
167,NA,NA,AGO,Angola,2016,NA,2042,fuzzy success,uige,uge,uige,uge,111,
168,bengo,dembosquibaxe,AGO,Angola,2016,DTP3,NA,in WHO but not shpfile,NA,NA,dembosquibaxe,NA,60,
169,benguela,catumbela,AGO,Angola,2016,DTP3,NA,in WHO but not shpfile,NA,NA,catumbela,NA,85,
170,huambo,tchikalatcholohang,AGO,Angola,2016,DTP3,1974,in WHO but not shpfile,NA,NA,tchikalatcholohang,tchicalatcholoanga,97,manual add
171,huila,quipungo,AGO,Angola,2016,DTP3,NA,in WHO but not shpfile,NA,NA,quipungo,NA,82,
172,luanda,belas,AGO,Angola,2016,DTP3,NA,in WHO but not shpfile,NA,NA,belas,NA,68,
173,luanda,quissama,AGO,Angola,2016,DTP3,NA,in WHO but not shpfile,NA,NA,quissama,NA,50,
174,lundanorte,capendacamulemba,AGO,Angola,2016,DTP3,NA,in WHO but not shpfile,NA,NA,capendacamulemba,NA,85,
175,malanje,caculamamucari,AGO,Angola,2016,DTP3,NA,in WHO but not shpfile,NA,NA,caculamamucari,NA,76,
176,malanje,kiuabanzoji,AGO,Angola,2016,DTP3,NA,in WHO but not shpfile,NA,NA,kiuabanzoji,NA,53,
177,moxico,lumejecameia,AGO,Angola,2016,DTP3,NA,in WHO but not shpfile,NA,NA,lumejecameia,NA,194,
178,moxico,moxicoluena,AGO,Angola,2016,DTP3,NA,in WHO but not shpfile,NA,NA,moxicoluena,NA,124,
179,uige,cangola,AGO,Angola,2016,DTP3,NA,in WHO but not shpfile,NA,NA,cangola,NA,107,
180,bengo,muxima,AGO,Angola,NA,NA,1889,in shpfile but not WHO,NA,Bengo,NA,muxima,NA,
181,cabinda,landana,AGO,Angola,NA,NA,1912,in shpfile but not WHO,NA,Cabinda,NA,landana,NA,
182,cuanzasul,wakukungo,AGO,Angola,NA,NA,1946,in shpfile but not WHO,NA,Cuanza Sul,NA,wakukungo,NA,
183,huambo,tchicalatcholoanga,AGO,Angola,NA,NA,1974,in shpfile but not WHO,NA,Huambo,NA,tchicalatcholoanga,NA,
184,hula,tchipungo,AGO,Angola,NA,NA,1965,in shpfile but not WHO,NA,Hu?¡la,NA,tchipungo,NA,
185,malanje,cuabanzogo,AGO,Angola,NA,NA,2004,in shpfile but not WHO,NA,Malanje,NA,cuabanzogo,NA,
186,moxico,cameia,AGO,Angola,NA,NA,2015,in shpfile but not WHO,NA,Moxico,NA,cameia,NA,
187,moxico,moxico,AGO,Angola,NA,NA,2021,in shpfile but not WHO,NA,Moxico,NA,moxico,NA,
188,uge,altocauale,AGO,Angola,NA,NA,2027,in shpfile but not WHO,NA,U?¡ge,NA,altocauale,NA,
189,biokonorte,baney,GNQ,Equatorial Guinea,2016,DTP3,14870,success,NA,NA,baney,NA,97.71895313,
190,biokonorte,malabo,GNQ,Equatorial Guinea,2016,DTP3,14871,success,NA,NA,malabo,NA,37.89040901,
191,biokosur,luba,GNQ,Equatorial Guinea,2016,DTP3,14873,success,NA,NA,luba,NA,66.55861477,
192,biokosur,riaba,GNQ,Equatorial Guinea,2016,DTP3,14874,success,NA,NA,riaba,NA,63.43356844,
193,centrosur,acurenam,GNQ,Equatorial Guinea,2016,DTP3,14875,success,NA,NA,acurenam,NA,50.16195635,
194,centrosur,evinayong,GNQ,Equatorial Guinea,2016,DTP3,14877,success,NA,NA,evinayong,NA,56.89183409,
195,centrosur,niefang,GNQ,Equatorial Guinea,2016,DTP3,14878,success,NA,NA,niefang,NA,47.79401174,
196,litoral,bata,GNQ,Equatorial Guinea,2016,DTP3,14886,success,NA,NA,bata,NA,43.98339055,
197,litoral,cogo,GNQ,Equatorial Guinea,2016,DTP3,14888,success,NA,NA,cogo,NA,9.943756716,
198,litoral,mbini,GNQ,Equatorial Guinea,2016,DTP3,14891,success,NA,NA,mbini,NA,42.02735599,
199,welenzas,aconibe,GNQ,Equatorial Guinea,2016,DTP3,14894,success,NA,NA,aconibe,NA,45.47551356,
200,welenzas,mongomo,GNQ,Equatorial Guinea,2016,DTP3,14898,success,NA,NA,mongomo,NA,48.84453617,
201,welenzas,nsork,GNQ,Equatorial Guinea,2016,DTP3,14899,success,NA,NA,nsork,NA,51.46849195,
202,NA,NA,GNQ,Equatorial Guinea,2016,NA,14881,fuzzy success,kientem,kintem,ebebiyin,ebebiyin,56.02295405,
203,NA,NA,GNQ,Equatorial Guinea,2016,NA,14882,fuzzy success,kientem,kintem,micomiseng,micomeseng,67.60832935,
204,NA,NA,GNQ,Equatorial Guinea,2016,NA,14885,fuzzy success,kientem,kintem,nsoknsomo,nsoknsomo,29.66061071,
205,NA,NA,GNQ,Equatorial Guinea,2016,NA,14893,fuzzy success,welenzas,welenzas,anisok,aisok,10.35603686,
206,annobon,annobon,GNQ,Equatorial Guinea,2016,DTP3,NA,in WHO but not shpfile,NA,NA,annobon,NA,107.8304276,
207,annobn,mabana,GNQ,Equatorial Guinea,NA,NA,14868,in shpfile but not WHO,NA,Annob??n,NA,mabana,NA,
208,annobn,sanantoniodepal,GNQ,Equatorial Guinea,NA,NA,14869,in shpfile but not WHO,NA,Annob??n,NA,sanantoniodepal,NA,
209,biokonorte,rebola,GNQ,Equatorial Guinea,NA,NA,14872,in shpfile but not WHO,NA,Bioko Norte,NA,rebola,NA,
210,centrosur,bicurga,GNQ,Equatorial Guinea,NA,NA,14876,in shpfile but not WHO,NA,Centro Sur,NA,bicurga,NA,
211,centrosur,nkimi,GNQ,Equatorial Guinea,NA,NA,14879,in shpfile but not WHO,NA,Centro Sur,NA,nkimi,NA,
212,kintem,bidjabidjan,GNQ,Equatorial Guinea,NA,NA,14880,in shpfile but not WHO,NA,Ki??-Ntem,NA,bidjabidjan,NA,
213,kintem,nasng,GNQ,Equatorial Guinea,NA,NA,14883,in shpfile but not WHO,NA,Ki??-Ntem,NA,nasng,NA,
214,kintem,nkue,GNQ,Equatorial Guinea,NA,NA,14884,in shpfile but not WHO,NA,Ki??-Ntem,NA,nkue,NA,
215,litoral,bitica,GNQ,Equatorial Guinea,NA,NA,14887,in shpfile but not WHO,NA,Litoral,NA,bitica,NA,
216,litoral,corisco,GNQ,Equatorial Guinea,NA,NA,14889,in shpfile but not WHO,NA,Litoral,NA,corisco,NA,
