,ADM1_NAME,ADM2_NAME,iso3.x,vaccine,ADM0_NAME.x,who_coverage,GAUL_CODE,merge_status,ADM1_NAME.x,ADM2_NAME.who,ADM1_NAME.y,ADM2_NAME.shpfile
208,NA,NA,CAF,DTP3,Burundi,49,NA,fuzzy need fix,rs1,boda,nanamambr,bouar
209,NA,NA,CAF,DTP3,Burundi,49,NA,fuzzy need fix,rs1,boda,ouham,bouca
210,NA,NA,CAF,DTP3,Burundi,49,NA,fuzzy need fix,rs1,boda,sanghambar,nola
211,NA,NA,CAF,DTP3,Burundi,70,NA,fuzzy need fix,rs4,kemo,bassekotto,kemb
212,NA,NA,CAF,DTP3,Burundi,70,NA,fuzzy need fix,rs4,kemo,ouham,kabo
213,NA,NA,CAF,DTP3,Burundi,69,NA,fuzzy success,rs1,begoua,nanamambr,baboua
214,NA,NA,CAF,DTP3,Burundi,93,NA,fuzzy success,rs1,mbaiki,lobaye,mbaki
215,NA,NA,CAF,DTP3,Burundi,66,NA,fuzzy success,rs4,ouaka,hautekotto,ouadda
216,NA,NA,CAF,DTP3,Burundi,11,NA,fuzzy success,rs5,vakaga,ouaka,bakala
217,NA,NA,CAF,DTP3,Burundi,54,NA,fuzzy success,rs6,bangassou,mbomou,bangassou
218,rs1,bossembele,CAF,DTP3,Burundi,28,NA,in WHO but not shpfile,NA,bossembele,NA,NA
219,rs2,mamberekadei,CAF,DTP3,Burundi,42,NA,in WHO but not shpfile,NA,mamberekadei,NA,NA
220,rs2,nanamambere,CAF,DTP3,Burundi,37,NA,in WHO but not shpfile,NA,nanamambere,NA,NA
221,rs2,sanghambaere,CAF,DTP3,Burundi,25,NA,in WHO but not shpfile,NA,sanghambaere,NA,NA
222,rs3,ouham,CAF,DTP3,Burundi,27,NA,in WHO but not shpfile,NA,ouham,NA,NA
223,rs3,ouhampende,CAF,DTP3,Burundi,87,NA,in WHO but not shpfile,NA,ouhampende,NA,NA
224,rs4,nanagrebizi,CAF,DTP3,Burundi,69,NA,in WHO but not shpfile,NA,nanagrebizi,NA,NA
225,rs5,bbangoran,CAF,DTP3,Burundi,80,NA,in WHO but not shpfile,NA,bbangoran,NA,NA
226,rs5,hautekotto,CAF,DTP3,Burundi,43,NA,in WHO but not shpfile,NA,hautekotto,NA,NA
227,rs6,alindaomingala,CAF,DTP3,Burundi,38,NA,in WHO but not shpfile,NA,alindaomingala,NA,NA
