ADM1_CODE,ADM1_NAME,ADM0_CODE,ADM0_NAME,GAUL_CODE,ISO
4217,Chari-Baguirmi,217,Chad,4217,TCD
5217,Ennedi Est,217,Chad,5217,TCD
6217,Ennedi Ouest,217,Chad,6217,TCD
7217,Gu??ra,217,Chad,7217,TCD
8217,Hadjer-Lamis,217,Chad,8217,TCD
9217,Kanem,217,Chad,9217,TCD
10217,Lac,217,Chad,10217,TCD
11217,Logone Occidental,217,Chad,11217,TCD
12217,Logone Oriental,217,Chad,12217,TCD
13217,Mandoul,217,Chad,13217,TCD
14217,Mayo-Kebbi Est,217,Chad,14217,TCD
15217,Mayo-Kebbi Ouest,217,Chad,15217,TCD
16217,Moyen-Chari,217,Chad,16217,TCD
17217,Ouadda?»,217,Chad,17217,TCD
18217,Salamat,217,Chad,18217,TCD
19217,Sila,217,Chad,19217,TCD
20217,Tandjil??,217,Chad,20217,TCD
21217,Tibesti,217,Chad,21217,TCD
22217,Ville de N'Djamena,217,Chad,22217,TCD
23217,Wadi Fira,217,Chad,23217,TCD
1218,Centre,218,Togo,1218,TGO
2218,Kara,218,Togo,2218,TGO
3218,Maritime,218,Togo,3218,TGO
4218,Plateaux,218,Togo,4218,TGO
5218,Savanes,218,Togo,5218,TGO
1219,Amnat Charoen,219,Thailand,1219,THA
2219,Ang Thong,219,Thailand,2219,THA
3219,Bangkok Metropolis,219,Thailand,3219,THA
4219,Bueng Kan,219,Thailand,4219,THA
5219,Buri Ram,219,Thailand,5219,THA
6219,Chachoengsao,219,Thailand,6219,THA
7219,Chai Nat,219,Thailand,7219,THA
8219,Chaiyaphum,219,Thailand,8219,THA
9219,Chanthaburi,219,Thailand,9219,THA
10219,Chiang Mai,219,Thailand,10219,THA
11219,Chiang Rai,219,Thailand,11219,THA
12219,Chon Buri,219,Thailand,12219,THA
13219,Chumphon,219,Thailand,13219,THA
14219,Kalasin,219,Thailand,14219,THA
15219,Kamphaeng Phet,219,Thailand,15219,THA
16219,Kanchanaburi,219,Thailand,16219,THA
17219,Khon Kaen,219,Thailand,17219,THA
18219,Krabi,219,Thailand,18219,THA
19219,Lampang,219,Thailand,19219,THA
20219,Lamphun,219,Thailand,20219,THA
21219,Loei,219,Thailand,21219,THA
22219,Lop Buri,219,Thailand,22219,THA
23219,Mae Hong Son,219,Thailand,23219,THA
24219,Maha Sarakham,219,Thailand,24219,THA
25219,Mukdahan,219,Thailand,25219,THA
26219,Nakhon Nayok,219,Thailand,26219,THA
27219,Nakhon Pathom,219,Thailand,27219,THA
28219,Nakhon Phanom,219,Thailand,28219,THA
29219,Nakhon Ratchasima,219,Thailand,29219,THA
30219,Nakhon Sawan,219,Thailand,30219,THA
31219,Nakhon Si Thammarat,219,Thailand,31219,THA
32219,Nan,219,Thailand,32219,THA
33219,Narathiwat,219,Thailand,33219,THA
34219,Nong Bua Lam Phu,219,Thailand,34219,THA
35219,Nong Khai,219,Thailand,35219,THA
36219,Nonthaburi,219,Thailand,36219,THA
37219,Pathum Thani,219,Thailand,37219,THA
38219,Pattani,219,Thailand,38219,THA
39219,Phangnga,219,Thailand,39219,THA
40219,Phatthalung,219,Thailand,40219,THA
41219,Phayao,219,Thailand,41219,THA
42219,Phetchabun,219,Thailand,42219,THA
43219,Phetchaburi,219,Thailand,43219,THA
44219,Phichit,219,Thailand,44219,THA
45219,Phitsanulok,219,Thailand,45219,THA
46219,Phra Nakhon Si Ayutthaya,219,Thailand,46219,THA
47219,Phrae,219,Thailand,47219,THA
48219,Phuket,219,Thailand,48219,THA
49219,Prachin Buri,219,Thailand,49219,THA
50219,Prachuap Khiri Khan,219,Thailand,50219,THA
51219,Ranong,219,Thailand,51219,THA
52219,Ratchaburi,219,Thailand,52219,THA
53219,Rayong,219,Thailand,53219,THA
54219,Roi Et,219,Thailand,54219,THA
55219,Sa Kaeo,219,Thailand,55219,THA
56219,Sakon Nakhon,219,Thailand,56219,THA
57219,Samut Prakan,219,Thailand,57219,THA
58219,Samut Sakhon,219,Thailand,58219,THA
59219,Samut Songkhram,219,Thailand,59219,THA
60219,Saraburi,219,Thailand,60219,THA
61219,Satun,219,Thailand,61219,THA
62219,Si Sa Ket,219,Thailand,62219,THA
63219,Sing Buri,219,Thailand,63219,THA
64219,Songkhla,219,Thailand,64219,THA
65219,Sukhothai,219,Thailand,65219,THA
66219,Suphan Buri,219,Thailand,66219,THA
67219,Surat Thani,219,Thailand,67219,THA
68219,Surin,219,Thailand,68219,THA
69219,Tak,219,Thailand,69219,THA
70219,Trang,219,Thailand,70219,THA
71219,Trat,219,Thailand,71219,THA
72219,Ubon Ratchathani,219,Thailand,72219,THA
73219,Udon Thani,219,Thailand,73219,THA
74219,Uthai Thani,219,Thailand,74219,THA
75219,Uttaradit,219,Thailand,75219,THA
76219,Yala,219,Thailand,76219,THA
77219,Yasothon,219,Thailand,77219,THA
1220,Dushanbe,220,Tajikistan,1220,TJK
2220,Gorno-Badakhshan,220,Tajikistan,2220,TJK
3220,Khatlon,220,Tajikistan,3220,TJK
4220,Leninabad,220,Tajikistan,4220,TJK
5220,Tadzhikistan Territories,220,Tajikistan,5220,TJK
1221,Anafu,221,Tokelau,1221,TKL
2221,Fakaofo,221,Tokelau,2221,TKL
3221,Nukunonu,221,Tokelau,3221,TKL
1222,Ahal,222,Turkmenistan,1222,TKM
2222,A?ƒgabat,222,Turkmenistan,2222,TKM
3222,Balkan,222,Turkmenistan,3222,TKM
4222,Chardzhou,222,Turkmenistan,4222,TKM
5222,Mary,222,Turkmenistan,5222,TKM
6222,Tashauz,222,Turkmenistan,6222,TKM
1223,Aileu,223,Timor-Leste,1223,TLS
2223,Ainaro,223,Timor-Leste,2223,TLS
3223,Ambeno,223,Timor-Leste,3223,TLS
4223,Baucau,223,Timor-Leste,4223,TLS
5223,Bobonaro,223,Timor-Leste,5223,TLS
6223,Covalima,223,Timor-Leste,6223,TLS
7223,Dili,223,Timor-Leste,7223,TLS
8223,Ermera,223,Timor-Leste,8223,TLS
9223,Laut??m,223,Timor-Leste,9223,TLS
10223,Liqui?º?í,223,Timor-Leste,10223,TLS
11223,Manatuto,223,Timor-Leste,11223,TLS
12223,Manufahi,223,Timor-Leste,12223,TLS
13223,Viqueque,223,Timor-Leste,13223,TLS
1224,'Eua,224,Tonga,1224,TON
2224,Ha'apai,224,Tonga,2224,TON
3224,Niuas,224,Tonga,3224,TON
4224,Tongatapu,224,Tonga,4224,TON
5224,Vava'u,224,Tonga,5224,TON
1225,Arima,225,Trinidad and Tobago,1225,TTO
2225,Chaguanas,225,Trinidad and Tobago,2225,TTO
3225,Couva-Tabaquite-Talparo,225,Trinidad and Tobago,3225,TTO
4225,Diego Martin,225,Trinidad and Tobago,4225,TTO
5225,Mayaro/Rio Claro,225,Trinidad and Tobago,5225,TTO
6225,Penal-Debe,225,Trinidad and Tobago,6225,TTO
7225,Point Fortin,225,Trinidad and Tobago,7225,TTO
8225,Port of Spain,225,Trinidad and Tobago,8225,TTO
9225,Princes Town,225,Trinidad and Tobago,9225,TTO
10225,San Fernando,225,Trinidad and Tobago,10225,TTO
11225,San Juan-Laventille,225,Trinidad and Tobago,11225,TTO
12225,Sangre Grande,225,Trinidad and Tobago,12225,TTO
13225,Siparia,225,Trinidad and Tobago,13225,TTO
14225,Tobago,225,Trinidad and Tobago,14225,TTO
15225,Tunapuna/Piarco,225,Trinidad and Tobago,15225,TTO
1226,Ariana,226,Tunisia,1226,TUN
2226,B??ja,226,Tunisia,2226,TUN
3226,Ben Arous (Tunis Sud),226,Tunisia,3226,TUN
4226,Bizerte,226,Tunisia,4226,TUN
5226,Gab?¿s,226,Tunisia,5226,TUN
6226,Gafsa,226,Tunisia,6226,TUN
7226,Jendouba,226,Tunisia,7226,TUN
8226,Kairouan,226,Tunisia,8226,TUN
9226,Kass??rine,226,Tunisia,9226,TUN
10226,Kebili,226,Tunisia,10226,TUN
11226,Le Kef,226,Tunisia,11226,TUN
12226,Mahdia,226,Tunisia,12226,TUN
13226,Manubah,226,Tunisia,13226,TUN
14226,M??denine,226,Tunisia,14226,TUN
15226,Monastir,226,Tunisia,15226,TUN
16226,Nabeul,226,Tunisia,16226,TUN
17226,Sfax,226,Tunisia,17226,TUN
18226,Sidi Bou Zid,226,Tunisia,18226,TUN
19226,Siliana,226,Tunisia,19226,TUN
20226,Sousse,226,Tunisia,20226,TUN
21226,Tataouine,226,Tunisia,21226,TUN
22226,Tozeur,226,Tunisia,22226,TUN
23226,Tunis,226,Tunisia,23226,TUN
24226,Zaghouan,226,Tunisia,24226,TUN
1227,Adana,227,Turkey,1227,TUR
2227,Adiyaman,227,Turkey,2227,TUR
3227,Afyon,227,Turkey,3227,TUR
4227,Agri,227,Turkey,4227,TUR
5227,Aksaray,227,Turkey,5227,TUR
6227,Amasya,227,Turkey,6227,TUR
7227,Ankara,227,Turkey,7227,TUR
8227,Antalya,227,Turkey,8227,TUR
9227,Ardahan,227,Turkey,9227,TUR
10227,Artvin,227,Turkey,10227,TUR
11227,Aydin,227,Turkey,11227,TUR
12227,Balikesir,227,Turkey,12227,TUR
13227,Bart??n,227,Turkey,13227,TUR
14227,Batman,227,Turkey,14227,TUR
15227,Bayburt,227,Turkey,15227,TUR
16227,Bilecik,227,Turkey,16227,TUR
17227,Bing??l,227,Turkey,17227,TUR
18227,Bitlis,227,Turkey,18227,TUR
19227,Bolu,227,Turkey,19227,TUR
20227,Burdur,227,Turkey,20227,TUR
21227,Bursa,227,Turkey,21227,TUR
22227,?çanakkale,227,Turkey,22227,TUR
23227,?çankiri,227,Turkey,23227,TUR
24227,?çorum,227,Turkey,24227,TUR
25227,Denizli,227,Turkey,25227,TUR
26227,Diyarbakir,227,Turkey,26227,TUR
27227,D??zce,227,Turkey,27227,TUR
28227,Edirne,227,Turkey,28227,TUR
29227,Elaz???ƒ,227,Turkey,29227,TUR
30227,Erzincan,227,Turkey,30227,TUR
31227,Erzurum,227,Turkey,31227,TUR
32227,Eskisehir,227,Turkey,32227,TUR
33227,Gaziantep,227,Turkey,33227,TUR
