,V1,ADM1_NAME,ADM2_NAME,iso3,ADM0_NAME.x,year,vaccine,GAUL_CODE,merge_status,ADM1_NAME.who,ADM1_NAME.shpfile,ADM2_NAME.who,ADM2_NAME.shpfile,who_coverage,Note,V16,V17,V18,V19
189,189,welenzas,nsork,GNQ,Equatorial Guinea,2016,DTP3,14899,success,NA,NA,nsork,NA,51.46849195,,NA,NA,NA,NA
190,190,NA,NA,GNQ,Equatorial Guinea,2016,NA,14881,fuzzy success,kientem,kintem,ebebiyin,ebebiyin,56.02295405,,NA,NA,NA,NA
191,191,NA,NA,GNQ,Equatorial Guinea,2016,NA,14882,fuzzy success,kientem,kintem,micomiseng,micomeseng,67.60832935,,NA,NA,NA,NA
192,192,NA,NA,GNQ,Equatorial Guinea,2016,NA,14885,fuzzy success,kientem,kintem,nsoknsomo,nsoknsomo,29.66061071,,NA,NA,NA,NA
193,193,NA,NA,GNQ,Equatorial Guinea,2016,NA,14893,fuzzy success,welenzas,welenzas,anisok,aisok,10.35603686,,NA,NA,NA,NA
194,194,annobon,annobon,GNQ,Equatorial Guinea,2016,DTP3,NA,in WHO but not shpfile,NA,NA,annobon,NA,107.8304276,,NA,NA,NA,NA
195,195,annobn,mabana,GNQ,Equatorial Guinea,NA,NA,14868,in shpfile but not WHO,NA,Annob??n,NA,mabana,NA,,NA,NA,NA,NA
196,196,annobn,sanantoniodepal,GNQ,Equatorial Guinea,NA,NA,14869,in shpfile but not WHO,NA,Annob??n,NA,sanantoniodepal,NA,,NA,NA,NA,NA
197,197,biokonorte,rebola,GNQ,Equatorial Guinea,NA,NA,14872,in shpfile but not WHO,NA,Bioko Norte,NA,rebola,NA,,NA,NA,NA,NA
198,198,centrosur,bicurga,GNQ,Equatorial Guinea,NA,NA,14876,in shpfile but not WHO,NA,Centro Sur,NA,bicurga,NA,,NA,NA,NA,NA
