"","NAME.who","NAME.shpfile","iso3.x","who_coverage","merge_status","GAUL_CODE"
"245","alhawdah","alwahdah","YEM",96.96184938,"fuzzy need fix",1009253
"246","ghamir","ghamr","YEM",32.15566996,"fuzzy need fix",5018253
"247","ghamir","khamir","YEM",32.15566996,"fuzzy need fix",14010253
"248","khadir","khamir","YEM",87.84406233,"fuzzy need fix",14010253
"249","khadir","kharif","YEM",87.84406233,"fuzzy need fix",15010253
"250","nahm","nati","YEM",74.97966347,"fuzzy need fix",16003253
"251","nahm","nihm","YEM",74.97966347,"fuzzy need fix",14019253
"252","nahm","yahr","YEM",74.97966347,"fuzzy need fix",15015253
"253","shada","saadah","YEM",12.48392343,"fuzzy need fix",12018253
"254","shada","shadaa","YEM",12.48392343,"fuzzy need fix",15018253
"255","yahar","dhar","YEM",110.9891736,"fuzzy need fix",8020253
"256","yahar","yahr","YEM",110.9891736,"fuzzy need fix",15015253
"257","addhala","addhalee","YEM",96.34316975,"fuzzy success",1004253
"258","addihar","aldhihar","YEM",150.1274509,"fuzzy success",1014253
"259","alarrsh","alarsh","YEM",109.8252575,"fuzzy success",1003253
"260","alashshah","alashah","YEM",76.23275184,"fuzzy success",1010253
"261","albaida","albayda","YEM",134.4704591,"fuzzy success",2003253
"262","albaidacity","albaydacity","YEM",56.06231888,"fuzzy success",3003253
"263","alhaymahaddakhiliy","alhaymahaddakhiliyah","YEM",78.36091117,"fuzzy success",1019253
"264","alhaymahalkharijiy","alhaymahalkharijiyah","YEM",98.1567293,"fuzzy success",2019253
"265","alhishuah","alhashwah","YEM",24.22489934,"fuzzy success",2018253
"266","alkhalaq","alkhalq","YEM",57.96853998,"fuzzy success",4006253
"267","alluhayyah","alluheyah","YEM",64.56331809,"fuzzy success",14005253
"268","almahfd","almahfad","YEM",86.05315589,"fuzzy success",2002253
"269","almaslob","almaslub","YEM",45.62686677,"fuzzy success",5006253
"270","almatun","almaton","YEM",28.10467984,"fuzzy success",7006253
"271","almawasid","almawasit","YEM",87.93044819,"fuzzy success",3021253
"272","alwhdh","alwahdah","YEM",69.89867634,"fuzzy success",1009253
"273","amed","amd","YEM",91.96786749,"fuzzy success",8012253
"274","ashshahr","ashshihr","YEM",71.86446089,"fuzzy success",11012253
"275","ashshimsyatayn","ashshamayatayn","YEM",96.0611044,"fuzzy success",9021253
"276","aslm","aslem","YEM",95.45022738,"fuzzy success",10013253
"277","assaaid","assaid","YEM",69.23115435,"fuzzy success",5020253
"278","assaoum","assawm","YEM",87.7030528,"fuzzy success",10012253
"279","assawadyah","assawadiyah","YEM",100.5162344,"fuzzy success",7003253
"280","attalih","altalh","YEM",79.66835452,"fuzzy success",2020253
"281","attazziah","attaiziyah","YEM",145.8919224,"fuzzy success",10021253
"282","attuhaita","attuhayat","YEM",119.1463732,"fuzzy success",17005253
"283","baihan","bayhan","YEM",102.753055,"fuzzy success",7020253
"284","banialawwam","banialawam","YEM",85.28783213,"fuzzy success",12013253
"285","bidbidah","bidbadah","YEM",76.36463097,"fuzzy success",3016253
"286","biratalanan","bartalanan","YEM",55.69244165,"fuzzy success",9006253
"287","dhisufal","dhiassufal","YEM",99.55939631,"fuzzy success",13014253
"288","dhmarcity","dhamarcity","YEM",84.02025284,"fuzzy success",5011253
"289","ghailbawazir","ghaylbawazir","YEM",78.14858577,"fuzzy success",14012253
"290","hadibo","hatib","YEM",68.77517591,"fuzzy success",10020253
"291","haifan","hayfan","YEM",68.62106852,"fuzzy success",13021253
"292","hateeb","hatib","YEM",57.26888422,"fuzzy success",10020253
"293","jabalhabashi","jabalhabashy","YEM",79.52168373,"fuzzy success",14021253
"294","jablmurad","jabalmurad","YEM",73.48837368,"fuzzy success",6016253
"295","jahanh","jihanah","YEM",90.80015394,"fuzzy success",11019253
"296","jirdan","jardan","YEM",81.65649366,"fuzzy success",11020253
"297","khammer","khamir","YEM",92.31966044,"fuzzy success",14010253
"298","kharef","kharif","YEM",82.33710676,"fuzzy success",15010253
"299","lawder","lawdar","YEM",88.34148776,"fuzzy success",6002253
"300","madkhal","medghal","YEM",89.51136164,"fuzzy success",11016253
"301","mahiliyah","mahliyah","YEM",85.05428711,"fuzzy success",7016253
"302","majzer","majzar","YEM",71.77837962,"fuzzy success",8016253
"303","markhahalalya","merkhahalulya","YEM",111.3251534,"fuzzy success",13020253
"304","markhahassufla","merkhahassufla","YEM",58.87898211,"fuzzy success",14020253
"305","mashraahwahadnan","mashraawahadnan","YEM",94.30257592,"fuzzy success",16021253
"306","mayfaah","mayfaa","YEM",95.39455454,"fuzzy success",12020253
"307","munabbih","monabbih","YEM",15.73882054,"fuzzy success",9018253
"308","nata","nati","YEM",57.54384317,"fuzzy success",16003253
"309","osailan","usaylan","YEM",47.85970382,"fuzzy success",17020253
"310","qitabir","qatabir","YEM",29.10612097,"fuzzy success",10018253
"311","rekhyah","rakhyah","YEM",84.94824387,"fuzzy success",21012253
"312","rosod","rasad","YEM",74.44641885,"fuzzy success",8002253
"313","saadh","saadah","YEM",102.4931081,"fuzzy success",12018253
"314","sauwayr","suwayr","YEM",96.23960735,"fuzzy success",19010253
"315","sharabassalaam","sharabassalam","YEM",103.3995557,"fuzzy success",23021253
"316","shiharah","shaharah","YEM",72.90314258,"fuzzy success",18010253
"317","tareem","tarim","YEM",82.72491826,"fuzzy success",26012253
"318","tawralbahah","turalbahah","YEM",78.98025966,"fuzzy success",13015253
"319","wadialain","wadialayn","YEM",87.60113568,"fuzzy success",28012253
"320","waldrabia","waldrabi","YEM",66.75134214,"fuzzy success",20003253
"321","washhh","washhah","YEM",97.74486926,"fuzzy success",31013253
"322","yabauth","yabuth","YEM",79.69177353,"fuzzy success",29012253
"323","zungobar","zingibar","YEM",92.38351604,"fuzzy success",11002253
"324","adhdhahir",NA,"YEM",16.85592431,"in WHO but not shpfile",NA
"325","alhamidat",NA,"YEM",37.84397962,"in WHO but not shpfile",NA
"326","alhawdah",NA,"YEM",96.96184938,"in WHO but not shpfile",NA
"327","almadaribhandalar",NA,"YEM",133.4750875,"in WHO but not shpfile",NA
"328","almoflehi",NA,"YEM",51.43879135,"in WHO but not shpfile",NA
"329","arraidahandqosaiar",NA,"YEM",79.96628089,"in WHO but not shpfile",NA
"330","atturbaniqais",NA,"YEM",89.85816325,"in WHO but not shpfile",NA
"331","broom",NA,"YEM",99.13011696,"in WHO but not shpfile",NA
"332","douhr",NA,"YEM",94.60058258,"in WHO but not shpfile",NA
"333","ghamir",NA,"YEM",32.15566996,"in WHO but not shpfile",NA
"334","halmeen",NA,"YEM",65.1013235,"in WHO but not shpfile",NA
"335","khadir",NA,"YEM",87.84406233,"in WHO but not shpfile",NA
"336","khobwaashaaf",NA,"YEM",25.82530549,"in WHO but not shpfile",NA
"337","kitafandalbuqa",NA,"YEM",17.57685885,"in WHO but not shpfile",NA
"338","nahm",NA,"YEM",74.97966347,"in WHO but not shpfile",NA
"339","qalansiah",NA,"YEM",101.9354368,"in WHO but not shpfile",NA
"340","qhailbenyameen",NA,"YEM",94.55154067,"in WHO but not shpfile",NA
"341","qofalawamir",NA,"YEM",79.28667341,"in WHO but not shpfile",NA
"342","rodhoom",NA,"YEM",77.22023571,"in WHO but not shpfile",NA
"343","sanaaold",NA,"YEM",73.07116851,"in WHO but not shpfile",NA
"344","shada",NA,"YEM",12.48392343,"in WHO but not shpfile",NA
"345","shibamandkawkaban",NA,"YEM",86.59301152,"in WHO but not shpfile",NA
"346","yahar",NA,"YEM",110.9891736,"in WHO but not shpfile",NA
"347","zamakhandmanwakh",NA,"YEM",71.5513882,"in WHO but not shpfile",NA
"348","zulaymathabur",NA,"YEM",88.58627738,"in WHO but not shpfile",NA
"349",NA,"aldhaher","YEM",NA,"in shpfile but not WHO",1018253
"350",NA,"alhawtah","YEM",NA,"in shpfile but not WHO",1015253
"351",NA,"alhumaydat","YEM",NA,"in shpfile but not WHO",3006253
"352",NA,"almadaribahwaalarah","YEM",NA,"in shpfile but not WHO",3015253
"353",NA,"almaflahy","YEM",NA,"in shpfile but not WHO",4015253
"354",NA,"alqaf","YEM",NA,"in shpfile but not WHO",6012253
"355",NA,"arraydahwaqusayar","YEM",NA,"in shpfile but not WHO",9012253
"356",NA,"baniqais","YEM",NA,"in shpfile but not WHO",13013253
"357",NA,"brommayfa","YEM",NA,"in shpfile but not WHO",12012253
"358",NA,"dhar","YEM",NA,"in shpfile but not WHO",8020253
