"","NAME","NAME.who","NAME.shpfile","iso3","iso3.x","iso3.y","who_coverage","who_coverage.x","who_coverage.y","merge_status","merge_status.x","merge_status.y","GAUL_CODE","GAUL_CODE.x","GAUL_CODE.y"
"232","jida","jida",NA,"ETH",NA,NA,88.07600672,NA,NA,"success",NA,NA,576,NA,NA
"233","jikawo","jikawo",NA,"ETH",NA,NA,66.27189679,NA,NA,"success",NA,NA,219,NA,NA
"234","jimmaarjo","jimmaarjo",NA,"ETH",NA,NA,91.27789457,NA,NA,"success",NA,NA,463,NA,NA
"235","jinkatown","jinkatown",NA,"ETH",NA,NA,82.03354375,NA,NA,"success",NA,NA,105,NA,NA
"236","kaftahumera","kaftahumera",NA,"ETH",NA,NA,105.1815098,NA,NA,"success",NA,NA,736,NA,NA
"237","kamashi","kamashi",NA,"ETH",NA,NA,114.6653611,NA,NA,"success",NA,NA,247,NA,NA
"238","kebena","kebena",NA,"ETH",NA,NA,100.7444331,NA,NA,"success",NA,NA,792,NA,NA
"239","kebribeyah","kebribeyah",NA,"ETH",NA,NA,89.28084066,NA,NA,"success",NA,NA,47,NA,NA
"240","kemba","kemba",NA,"ETH",NA,NA,116.7539505,NA,NA,"success",NA,NA,647,NA,NA
"241","kemisetown","kemisetown",NA,"ETH",NA,NA,170.3069111,NA,NA,"success",NA,NA,265,NA,NA
"242","kercha","kercha",NA,"ETH",NA,NA,127,NA,NA,"success",NA,NA,598,NA,NA
"243","kersa","kersa",NA,"ETH",NA,NA,104.7989001,NA,NA,"success",NA,NA,424,NA,NA
"244","kindokoysha","kindokoysha",NA,"ETH",NA,NA,102.6170278,NA,NA,"success",NA,NA,164,NA,NA
"245","kiremu","kiremu",NA,"ETH",NA,NA,99.63708019,NA,NA,"success",NA,NA,653,NA,NA
"246","kirkos","kirkos",NA,"ETH",NA,NA,86.39337292,NA,NA,"success",NA,NA,658,NA,NA
"247","kobotown","kobotown",NA,"ETH",NA,NA,73.49503024,NA,NA,"success",NA,NA,327,NA,NA
"248","kokosa","kokosa",NA,"ETH",NA,NA,101.1516812,NA,NA,"success",NA,NA,526,NA,NA
"249","kombolcha","kombolcha",NA,"ETH",NA,NA,103.7607047,NA,NA,"success",NA,NA,410,NA,NA
"250","kombolchatown","kombolchatown",NA,"ETH",NA,NA,91.6123955,NA,NA,"success",NA,NA,756,NA,NA
"251","koneba","koneba",NA,"ETH",NA,NA,68.64827926,NA,NA,"success",NA,NA,381,NA,NA
"252","konso","konso",NA,"ETH",NA,NA,81.61143349,NA,NA,"success",NA,NA,645,NA,NA
"253","kore","kore",NA,"ETH",NA,NA,116.2357162,NA,NA,"success",NA,NA,584,NA,NA
"254","koremtown","koremtown",NA,"ETH",NA,NA,89.97160585,NA,NA,"success",NA,NA,26,NA,NA
"255","kucha","kucha",NA,"ETH",NA,NA,99.4167935,NA,NA,"success",NA,NA,135,NA,NA
"256","kumbi","kumbi",NA,"ETH",NA,NA,87.08471773,NA,NA,"success",NA,NA,446,NA,NA
"257","kurfachele","kurfachele",NA,"ETH",NA,NA,102.3006635,NA,NA,"success",NA,NA,421,NA,NA
"258","kurmuk","kurmuk",NA,"ETH",NA,NA,135.9508691,NA,NA,"success",NA,NA,224,NA,NA
"259","kutaber","kutaber",NA,"ETH",NA,NA,102.2446912,NA,NA,"success",NA,NA,733,NA,NA
"260","kuyu","kuyu",NA,"ETH",NA,NA,104.6105525,NA,NA,"success",NA,NA,407,NA,NA
"261","lagahida","lagahida",NA,"ETH",NA,NA,26.13021051,NA,NA,"success",NA,NA,80,NA,NA
"262","lalibelatown","lalibelatown",NA,"ETH",NA,NA,61.32469775,NA,NA,"success",NA,NA,303,NA,NA
"263","lalokile","lalokile",NA,"ETH",NA,NA,89.41081258,NA,NA,"success",NA,NA,516,NA,NA
"264","lare","lare",NA,"ETH",NA,NA,103.8630266,NA,NA,"success",NA,NA,220,NA,NA
"265","laygayint","laygayint",NA,"ETH",NA,NA,92.90070456,NA,NA,"success",NA,NA,305,NA,NA
"266","legambo","legambo",NA,"ETH",NA,NA,95.11192102,NA,NA,"success",NA,NA,306,NA,NA
"267","legehida","legehida",NA,"ETH",NA,NA,104.2198384,NA,NA,"success",NA,NA,324,NA,NA
"268","legehida","legehida",NA,"ETH",NA,NA,104.2198384,NA,NA,"success",NA,NA,500,NA,NA
"269","legehida","legehida",NA,"ETH",NA,NA,116.1538056,NA,NA,"success",NA,NA,324,NA,NA
"270","legehida","legehida",NA,"ETH",NA,NA,116.1538056,NA,NA,"success",NA,NA,500,NA,NA
"271","lekadulecha","lekadulecha",NA,"ETH",NA,NA,101.5062218,NA,NA,"success",NA,NA,556,NA,NA
"272","liben","liben",NA,"ETH",NA,NA,111.493105,NA,NA,"success",NA,NA,773,NA,NA
"273","libokemkem","libokemkem",NA,"ETH",NA,NA,94.40170438,NA,NA,"success",NA,NA,325,NA,NA
"274","lideta","lideta",NA,"ETH",NA,NA,55.92357354,NA,NA,"success",NA,NA,660,NA,NA
"275","limu","limu",NA,"ETH",NA,NA,81.37080744,NA,NA,"success",NA,NA,402,NA,NA
"276","limu","limu",NA,"ETH",NA,NA,81.37080744,NA,NA,"success",NA,NA,729,NA,NA
"277","limukosa","limukosa",NA,"ETH",NA,NA,92.08177864,NA,NA,"success",NA,NA,559,NA,NA
"278","limuseka","limuseka",NA,"ETH",NA,NA,103.8314513,NA,NA,"success",NA,NA,468,NA,NA
"279","lokaabaya","lokaabaya",NA,"ETH",NA,NA,91.08404005,NA,NA,"success",NA,NA,131,NA,NA
"280","maji","maji",NA,"ETH",NA,NA,84.82124784,NA,NA,"success",NA,NA,142,NA,NA
"281","malkabalo","malkabalo",NA,"ETH",NA,NA,99.8905491,NA,NA,"success",NA,NA,438,NA,NA
"282","manasibu","manasibu",NA,"ETH",NA,NA,88.55110814,NA,NA,"success",NA,NA,579,NA,NA
"283","mandura","mandura",NA,"ETH",NA,NA,121.3332215,NA,NA,"success",NA,NA,241,NA,NA
"284","mareko","mareko",NA,"ETH",NA,NA,110.7613253,NA,NA,"success",NA,NA,188,NA,NA
"285","marsin","marsin",NA,"ETH",NA,NA,83.54157036,NA,NA,"success",NA,NA,54,NA,NA
"286","masha","masha",NA,"ETH",NA,NA,60.86799228,NA,NA,"success",NA,NA,760,NA,NA
"287","mashatown","mashatown",NA,"ETH",NA,NA,93.00898423,NA,NA,"success",NA,NA,117,NA,NA
"288","mecha","mecha",NA,"ETH",NA,NA,91.83349019,NA,NA,"success",NA,NA,747,NA,NA
"289","medawelabu","medawelabu",NA,"ETH",NA,NA,136.1644655,NA,NA,"success",NA,NA,534,NA,NA
"290","medebayzana","medebayzana",NA,"ETH",NA,NA,86.38070112,NA,NA,"success",NA,NA,23,NA,NA
"291","mehalsayint","mehalsayint",NA,"ETH",NA,NA,93.64378142,NA,NA,"success",NA,NA,329,NA,NA
"292","meket","meket",NA,"ETH",NA,NA,109.7946795,NA,NA,"success",NA,NA,765,NA,NA
"293","meko","meko",NA,"ETH",NA,NA,93.23887948,NA,NA,"success",NA,NA,465,NA,NA
"294","menge","menge",NA,"ETH",NA,NA,169.6058768,NA,NA,"success",NA,NA,245,NA,NA
"295","mengesh","mengesh",NA,"ETH",NA,NA,69.27691029,NA,NA,"success",NA,NA,227,NA,NA
"296","menitshasha","menitshasha",NA,"ETH",NA,NA,104.9035471,NA,NA,"success",NA,NA,97,NA,NA
"297","menzgeramidir","menzgeramidir",NA,"ETH",NA,NA,68.01501104,NA,NA,"success",NA,NA,762,NA,NA
"298","menzlalomidir","menzlalomidir",NA,"ETH",NA,NA,78.70799605,NA,NA,"success",NA,NA,332,NA,NA
"299","menzmamamidir","menzmamamidir",NA,"ETH",NA,NA,95.61200002,NA,NA,"success",NA,NA,333,NA,NA
"300","merebleke","merebleke",NA,"ETH",NA,NA,87.20497687,NA,NA,"success",NA,NA,24,NA,NA
"301","merti","merti",NA,"ETH",NA,NA,111.2939082,NA,NA,"success",NA,NA,469,NA,NA
"302","meskan","meskan",NA,"ETH",NA,NA,102.432302,NA,NA,"success",NA,NA,716,NA,NA
"303","meta","meta",NA,"ETH",NA,NA,103.5190925,NA,NA,"success",NA,NA,417,NA,NA
"304","metarobi","metarobi",NA,"ETH",NA,NA,95.56462709,NA,NA,"success",NA,NA,414,NA,NA
"305","meteharatown","meteharatown",NA,"ETH",NA,NA,84.10022261,NA,NA,"success",NA,NA,453,NA,NA
"306","metema","metema",NA,"ETH",NA,NA,103.3220328,NA,NA,"success",NA,NA,742,NA,NA
"307","midakegn","midakegn",NA,"ETH",NA,NA,86.26605925,NA,NA,"success",NA,NA,571,NA,NA
"308","midegatola","midegatola",NA,"ETH",NA,NA,82.92128905,NA,NA,"success",NA,NA,590,NA,NA
"309","mieso","mieso",NA,"ETH",NA,NA,87.78246375,NA,NA,"success",NA,NA,428,NA,NA
"310","mirababaya","mirababaya",NA,"ETH",NA,NA,93.46233192,NA,NA,"success",NA,NA,191,NA,NA
"311","misha","misha",NA,"ETH",NA,NA,104.2471464,NA,NA,"success",NA,NA,189,NA,NA
"312","miyo","miyo",NA,"ETH",NA,NA,109.1580609,NA,NA,"success",NA,NA,612,NA,NA
"313","moretnajiru","moretnajiru",NA,"ETH",NA,NA,72.62759141,NA,NA,"success",NA,NA,338,NA,NA
"314","motatown","motatown",NA,"ETH",NA,NA,98.61714438,NA,NA,"success",NA,NA,309,NA,NA
"315","moyale","moyale",NA,"ETH",NA,NA,264.3220015,NA,NA,"success",NA,NA,77,NA,NA
"316","moyale","moyale",NA,"ETH",NA,NA,264.3220015,NA,NA,"success",NA,NA,543,NA,NA
"317","mulo","mulo",NA,"ETH",NA,NA,91.38523981,NA,NA,"success",NA,NA,574,NA,NA
"318","mustahil","mustahil",NA,"ETH",NA,NA,90.26584703,NA,NA,"success",NA,NA,69,NA,NA
"319","negeletown","negeletown",NA,"ETH",NA,NA,72.93444022,NA,NA,"success",NA,NA,538,NA,NA
"320","nolekaba","nolekaba",NA,"ETH",NA,NA,98.42216428,NA,NA,"success",NA,NA,457,NA,NA
"321","nono","nono",NA,"ETH",NA,NA,88.14267751,NA,NA,"success",NA,NA,467,NA,NA
